fare_id,price,currency_type,payment_method,transfers,transfer_duration
436359,4.25,USD,1,,
436360,9.05,USD,1,,
436361,7.35,USD,1,,
436362,7.05,USD,1,,
436363,6.85,USD,1,,
436364,6.60,USD,1,,
436365,6.50,USD,1,,
436366,6.40,USD,1,,
436367,6.25,USD,1,,
436368,6.10,USD,1,,
436369,6.10,USD,1,,
436370,6.10,USD,1,,
436371,6.50,USD,1,,
436372,6.75,USD,1,,
436373,7.10,USD,1,,
436374,7.45,USD,1,,
436375,7.80,USD,1,,
436376,8.20,USD,1,,
436377,8.85,USD,1,,
436378,9.30,USD,1,,
436379,7.80,USD,1,,
436380,9.25,USD,1,,
436381,9.80,USD,1,,
436382,9.10,USD,1,,
436383,4.25,USD,1,,
436384,8.85,USD,1,,
436385,8.30,USD,1,,
436386,8.10,USD,1,,
436387,7.65,USD,1,,
436388,7.15,USD,1,,
436389,6.40,USD,1,,
436390,6.00,USD,1,,
436391,5.70,USD,1,,
436392,5.70,USD,1,,
436393,5.70,USD,1,,
436394,5.70,USD,1,,
436395,5.45,USD,1,,
436396,5.30,USD,1,,
436397,5.00,USD,1,,
436398,4.80,USD,1,,
436399,4.25,USD,1,,
436400,14.65,USD,1,,
436401,9.85,USD,1,,
436402,10.80,USD,1,,
436403,11.10,USD,1,,
436404,10.00,USD,1,,
436405,10.85,USD,1,,
436406,10.10,USD,1,,
436407,10.10,USD,1,,
436408,7.55,USD,1,,
436409,5.85,USD,1,,
437156,6.75,USD,1,,
437157,7.10,USD,1,,
437158,13.20,USD,1,,
437159,7.55,USD,1,,
437160,4.65,USD,1,,
436410,15.15,USD,1,,
436411,13.45,USD,1,,
436412,13.15,USD,1,,
436413,12.95,USD,1,,
436414,12.70,USD,1,,
436415,12.60,USD,1,,
436416,12.50,USD,1,,
436417,12.35,USD,1,,
436418,12.20,USD,1,,
436419,12.20,USD,1,,
436420,12.20,USD,1,,
436421,12.60,USD,1,,
436422,12.85,USD,1,,
436423,13.20,USD,1,,
436424,13.55,USD,1,,
436425,13.90,USD,1,,
436426,14.30,USD,1,,
436427,14.95,USD,1,,
436428,15.40,USD,1,,
436429,13.90,USD,1,,
436430,15.35,USD,1,,
436431,15.90,USD,1,,
436432,15.20,USD,1,,
436433,10.50,USD,1,,
436434,14.95,USD,1,,
436435,14.40,USD,1,,
436436,14.20,USD,1,,
436437,13.75,USD,1,,
436438,13.25,USD,1,,
436439,12.55,USD,1,,
436440,12.10,USD,1,,
436441,11.80,USD,1,,
436442,11.80,USD,1,,
436443,11.80,USD,1,,
436444,11.80,USD,1,,
436445,11.70,USD,1,,
436446,11.60,USD,1,,
436447,11.25,USD,1,,
436448,11.10,USD,1,,
436449,10.80,USD,1,,
436450,20.75,USD,1,,
436451,15.95,USD,1,,
436452,16.90,USD,1,,
436453,17.25,USD,1,,
436454,16.10,USD,1,,
436455,16.95,USD,1,,
436456,4.25,USD,1,,
436457,4.25,USD,1,,
436458,5.85,USD,1,,
436459,7.55,USD,1,,
436460,9.45,USD,1,,
436461,7.75,USD,1,,
436462,7.50,USD,1,,
436463,7.30,USD,1,,
436464,7.05,USD,1,,
436465,6.95,USD,1,,
436466,6.85,USD,1,,
436467,6.70,USD,1,,
436468,6.55,USD,1,,
436469,6.55,USD,1,,
436470,6.55,USD,1,,
436471,6.90,USD,1,,
436472,7.15,USD,1,,
436473,7.55,USD,1,,
436474,7.85,USD,1,,
436475,8.25,USD,1,,
436476,8.60,USD,1,,
436477,9.25,USD,1,,
436478,9.70,USD,1,,
436479,8.25,USD,1,,
436480,9.70,USD,1,,
436481,10.25,USD,1,,
436482,9.55,USD,1,,
436483,4.90,USD,1,,
436484,9.30,USD,1,,
436485,8.75,USD,1,,
436486,8.55,USD,1,,
436487,8.10,USD,1,,
436488,7.60,USD,1,,
436489,6.85,USD,1,,
436490,6.45,USD,1,,
436491,6.15,USD,1,,
436492,6.15,USD,1,,
436493,6.15,USD,1,,
436494,6.15,USD,1,,
436495,6.05,USD,1,,
436496,6.00,USD,1,,
436497,5.65,USD,1,,
436498,5.50,USD,1,,
436499,5.20,USD,1,,
436500,15.10,USD,1,,
436501,10.30,USD,1,,
436502,11.25,USD,1,,
436503,11.55,USD,1,,
436504,10.45,USD,1,,
436505,11.30,USD,1,,
436506,8.70,USD,1,,
436507,9.05,USD,1,,
436508,15.15,USD,1,,
436509,9.45,USD,1,,
436510,7.55,USD,1,,
436511,6.80,USD,1,,
436512,6.50,USD,1,,
436513,6.30,USD,1,,
436514,6.05,USD,1,,
436515,6.00,USD,1,,
436516,5.90,USD,1,,
436517,5.70,USD,1,,
436518,5.60,USD,1,,
436519,5.60,USD,1,,
436520,5.60,USD,1,,
436521,5.25,USD,1,,
436522,5.00,USD,1,,
436523,4.65,USD,1,,
436524,2.55,USD,1,,
436525,4.65,USD,1,,
436526,5.05,USD,1,,
436527,5.70,USD,1,,
436528,6.15,USD,1,,
436529,2.55,USD,1,,
436530,2.55,USD,1,,
436531,9.05,USD,1,,
436532,8.35,USD,1,,
436533,8.45,USD,1,,
436534,8.10,USD,1,,
436535,7.55,USD,1,,
436536,7.35,USD,1,,
436537,6.90,USD,1,,
436538,6.40,USD,1,,
436539,5.70,USD,1,,
436540,5.70,USD,1,,
436541,7.85,USD,1,,
436542,7.85,USD,1,,
436543,7.85,USD,1,,
436544,7.85,USD,1,,
436545,7.95,USD,1,,
436546,8.05,USD,1,,
436547,8.25,USD,1,,
436548,8.30,USD,1,,
436549,8.50,USD,1,,
436550,12.90,USD,1,,
436551,6.70,USD,1,,
436552,7.65,USD,1,,
436553,8.00,USD,1,,
436554,9.25,USD,1,,
436555,10.10,USD,1,,
436556,7.00,USD,1,,
436557,7.35,USD,1,,
436558,13.45,USD,1,,
436559,7.75,USD,1,,
437161,4.90,USD,1,,
437162,4.60,USD,1,,
436560,6.80,USD,1,,
436561,7.55,USD,1,,
436562,2.55,USD,1,,
436563,2.55,USD,1,,
436564,2.55,USD,1,,
436565,2.55,USD,1,,
436566,2.55,USD,1,,
436567,3.55,USD,1,,
436568,3.80,USD,1,,
436569,3.80,USD,1,,
436570,3.80,USD,1,,
436571,4.20,USD,1,,
436572,4.50,USD,1,,
436573,4.90,USD,1,,
436574,5.20,USD,1,,
436575,5.55,USD,1,,
436576,5.95,USD,1,,
436577,6.60,USD,1,,
436578,7.05,USD,1,,
436579,5.55,USD,1,,
436580,7.00,USD,1,,
436581,7.10,USD,1,,
436582,6.40,USD,1,,
436583,6.75,USD,1,,
436584,6.15,USD,1,,
436585,5.60,USD,1,,
436586,5.40,USD,1,,
436587,4.95,USD,1,,
436588,4.45,USD,1,,
436589,3.55,USD,1,,
436590,4.00,USD,1,,
436591,6.15,USD,1,,
436592,6.15,USD,1,,
436593,6.15,USD,1,,
436594,6.15,USD,1,,
436595,6.25,USD,1,,
436596,6.35,USD,1,,
436597,6.50,USD,1,,
436598,6.60,USD,1,,
436599,6.80,USD,1,,
436600,12.45,USD,1,,
436601,7.60,USD,1,,
436602,8.55,USD,1,,
436603,8.90,USD,1,,
436604,7.30,USD,1,,
436605,8.15,USD,1,,
436606,6.70,USD,1,,
436607,7.05,USD,1,,
436608,13.15,USD,1,,
436609,7.50,USD,1,,
436610,6.50,USD,1,,
436611,2.55,USD,1,,
436612,7.55,USD,1,,
436613,2.55,USD,1,,
436614,2.55,USD,1,,
436615,2.55,USD,1,,
436616,2.55,USD,1,,
436617,3.05,USD,1,,
436618,3.35,USD,1,,
436619,3.35,USD,1,,
436620,3.35,USD,1,,
436621,3.95,USD,1,,
436622,4.20,USD,1,,
436623,4.60,USD,1,,
436624,4.90,USD,1,,
436625,5.30,USD,1,,
436626,5.70,USD,1,,
436627,6.30,USD,1,,
436628,6.80,USD,1,,
436629,5.30,USD,1,,
436630,6.75,USD,1,,
436631,6.80,USD,1,,
436632,6.15,USD,1,,
436633,6.45,USD,1,,
436634,5.90,USD,1,,
436635,5.35,USD,1,,
436636,5.15,USD,1,,
436637,4.70,USD,1,,
436638,4.20,USD,1,,
436639,3.15,USD,1,,
436640,3.55,USD,1,,
436641,5.90,USD,1,,
436642,5.90,USD,1,,
436643,5.90,USD,1,,
436644,5.90,USD,1,,
436645,6.00,USD,1,,
436646,6.05,USD,1,,
436647,6.25,USD,1,,
436648,6.35,USD,1,,
436649,6.50,USD,1,,
436650,12.15,USD,1,,
436651,7.35,USD,1,,
436652,8.30,USD,1,,
436653,8.60,USD,1,,
436654,7.05,USD,1,,
436655,7.85,USD,1,,
436656,6.50,USD,1,,
436657,6.85,USD,1,,
436658,12.95,USD,1,,
436659,7.30,USD,1,,
436660,6.30,USD,1,,
436661,2.55,USD,1,,
436662,2.55,USD,1,,
436663,7.55,USD,1,,
436664,2.55,USD,1,,
436665,2.55,USD,1,,
436666,2.55,USD,1,,
436667,2.70,USD,1,,
436668,3.00,USD,1,,
436669,3.00,USD,1,,
436670,3.00,USD,1,,
436671,3.60,USD,1,,
436672,4.00,USD,1,,
436673,4.40,USD,1,,
436674,4.70,USD,1,,
436675,5.05,USD,1,,
436676,5.45,USD,1,,
436677,6.10,USD,1,,
436678,6.55,USD,1,,
436679,5.05,USD,1,,
436680,6.50,USD,1,,
436681,6.60,USD,1,,
436682,5.95,USD,1,,
436683,6.25,USD,1,,
436684,5.65,USD,1,,
436685,5.15,USD,1,,
436686,4.95,USD,1,,
436687,4.45,USD,1,,
436688,3.85,USD,1,,
436689,2.80,USD,1,,
436690,3.20,USD,1,,
436691,5.70,USD,1,,
436692,5.70,USD,1,,
436693,5.70,USD,1,,
436694,5.70,USD,1,,
436695,5.75,USD,1,,
436696,5.85,USD,1,,
436697,6.05,USD,1,,
436698,6.10,USD,1,,
436699,6.30,USD,1,,
436700,11.95,USD,1,,
436701,7.10,USD,1,,
436702,8.05,USD,1,,
436703,8.40,USD,1,,
436704,6.80,USD,1,,
436705,7.65,USD,1,,
436706,6.25,USD,1,,
436707,6.60,USD,1,,
436708,12.70,USD,1,,
436709,7.05,USD,1,,
436710,6.05,USD,1,,
436711,2.55,USD,1,,
436712,2.55,USD,1,,
436713,2.55,USD,1,,
436714,7.55,USD,1,,
436715,2.55,USD,1,,
436716,2.55,USD,1,,
436717,2.55,USD,1,,
436718,2.55,USD,1,,
436719,2.55,USD,1,,
436720,2.55,USD,1,,
436721,3.15,USD,1,,
436722,3.60,USD,1,,
436723,4.15,USD,1,,
436724,4.45,USD,1,,
436725,4.85,USD,1,,
436726,5.20,USD,1,,
436727,5.85,USD,1,,
436728,6.30,USD,1,,
436729,4.80,USD,1,,
436730,6.25,USD,1,,
436731,6.35,USD,1,,
436732,5.70,USD,1,,
436733,6.00,USD,1,,
436734,5.40,USD,1,,
436735,4.90,USD,1,,
436736,4.70,USD,1,,
436737,4.20,USD,1,,
436738,3.45,USD,1,,
436739,2.55,USD,1,,
436740,2.80,USD,1,,
436741,5.40,USD,1,,
436742,5.40,USD,1,,
436743,5.40,USD,1,,
436744,5.40,USD,1,,
436745,5.50,USD,1,,
436746,5.60,USD,1,,
436747,5.80,USD,1,,
436748,5.85,USD,1,,
436749,6.05,USD,1,,
436750,11.50,USD,1,,
436751,6.85,USD,1,,
436752,7.80,USD,1,,
436753,8.15,USD,1,,
436754,6.55,USD,1,,
436755,7.40,USD,1,,
436756,6.15,USD,1,,
436757,6.50,USD,1,,
436758,12.60,USD,1,,
437163,4.40,USD,1,,
437164,4.15,USD,1,,
437165,4.05,USD,1,,
437166,3.85,USD,1,,
437167,3.55,USD,1,,
437168,3.25,USD,1,,
437169,3.25,USD,1,,
437170,3.25,USD,1,,
437171,2.55,USD,1,,
437172,2.55,USD,1,,
437173,7.55,USD,1,,
437174,2.55,USD,1,,
437175,2.55,USD,1,,
437176,3.35,USD,1,,
437177,4.30,USD,1,,
437178,4.85,USD,1,,
437179,2.55,USD,1,,
437180,4.80,USD,1,,
437181,7.10,USD,1,,
437182,6.45,USD,1,,
437183,6.55,USD,1,,
437184,6.15,USD,1,,
437185,5.65,USD,1,,
437186,5.45,USD,1,,
437187,5.00,USD,1,,
437188,4.45,USD,1,,
437189,3.60,USD,1,,
437190,3.50,USD,1,,
437191,5.95,USD,1,,
437192,5.95,USD,1,,
437193,5.95,USD,1,,
437194,5.95,USD,1,,
437195,6.05,USD,1,,
437196,6.10,USD,1,,
437197,6.30,USD,1,,
437198,6.40,USD,1,,
437199,6.55,USD,1,,
437200,10.50,USD,1,,
437201,5.40,USD,1,,
437202,6.35,USD,1,,
437203,6.70,USD,1,,
437204,7.35,USD,1,,
437205,8.15,USD,1,,
437206,7.10,USD,1,,
437207,7.45,USD,1,,
437208,13.55,USD,1,,
437209,7.85,USD,1,,
437210,2.55,USD,1,,
437211,5.20,USD,1,,
437212,4.90,USD,1,,
437213,4.70,USD,1,,
437214,4.45,USD,1,,
437215,4.40,USD,1,,
437216,4.25,USD,1,,
437217,4.05,USD,1,,
437218,3.75,USD,1,,
437219,3.75,USD,1,,
437220,3.75,USD,1,,
437221,3.15,USD,1,,
437222,2.55,USD,1,,
437223,2.55,USD,1,,
437224,7.55,USD,1,,
437225,2.55,USD,1,,
437226,2.55,USD,1,,
437227,2.55,USD,1,,
437228,2.55,USD,1,,
437229,2.55,USD,1,,
437230,2.55,USD,1,,
437231,7.45,USD,1,,
437232,6.75,USD,1,,
437233,6.85,USD,1,,
437234,6.50,USD,1,,
437235,5.95,USD,1,,
437236,5.75,USD,1,,
437237,5.25,USD,1,,
437238,4.80,USD,1,,
437239,4.05,USD,1,,
437240,4.00,USD,1,,
437241,6.25,USD,1,,
437242,6.25,USD,1,,
437243,6.25,USD,1,,
437244,6.25,USD,1,,
437245,6.35,USD,1,,
437246,6.40,USD,1,,
437247,6.60,USD,1,,
437248,6.70,USD,1,,
437249,6.90,USD,1,,
437250,10.50,USD,1,,
437251,5.10,USD,1,,
437252,6.05,USD,1,,
437253,6.40,USD,1,,
437254,7.65,USD,1,,
437255,8.45,USD,1,,
437256,7.45,USD,1,,
437257,7.80,USD,1,,
437258,13.90,USD,1,,
437259,8.25,USD,1,,
437260,4.65,USD,1,,
437261,5.55,USD,1,,
437262,5.30,USD,1,,
437263,5.05,USD,1,,
437264,4.85,USD,1,,
437265,4.75,USD,1,,
437266,4.65,USD,1,,
437267,4.50,USD,1,,
437268,4.35,USD,1,,
437269,4.35,USD,1,,
437270,4.35,USD,1,,
437271,3.75,USD,1,,
437272,3.35,USD,1,,
437273,2.55,USD,1,,
437274,2.55,USD,1,,
437275,7.55,USD,1,,
437276,2.55,USD,1,,
437277,2.55,USD,1,,
437278,2.55,USD,1,,
437279,2.55,USD,1,,
437280,4.90,USD,1,,
437281,7.80,USD,1,,
437282,7.10,USD,1,,
437283,7.20,USD,1,,
437284,6.85,USD,1,,
437285,6.30,USD,1,,
437286,6.15,USD,1,,
437287,5.65,USD,1,,
437288,5.15,USD,1,,
437289,4.50,USD,1,,
437290,4.45,USD,1,,
437291,6.65,USD,1,,
437292,6.65,USD,1,,
437293,6.65,USD,1,,
437294,6.65,USD,1,,
437295,6.75,USD,1,,
437296,6.80,USD,1,,
